jinyu 20240902

wavelength (microns), Re(eps)
0.481833, 2.35741
0.481204, 2.35751
0.480577, 2.35761
0.479952, 2.35771
0.479328, 2.35781
0.478706, 2.3579
0.478086, 2.358
0.477467, 2.35809
0.47685, 2.35819
0.476234, 2.35828
0.47562, 2.35838
0.475007, 2.35847
0.474397, 2.35856
0.473787, 2.35866
0.473179, 2.35875
0.472573, 2.35884
0.471969, 2.35893
0.471365, 2.35902
0.470764, 2.35911
0.470164, 2.3592
0.469565, 2.35929
0.468968, 2.35937
0.468373, 2.35946
0.467779, 2.35955
0.467186, 2.35963
0.466595, 2.35972
0.466006, 2.3598
0.465418, 2.35989
0.464831, 2.35997
0.464246, 2.36006
0.463663, 2.36014
0.463081, 2.36022
0.4625, 2.3603
0.461921, 2.36038
0.461343, 2.36046
0.460767, 2.36054
0.460192, 2.36062
0.459619, 2.3607
0.459047, 2.36078
0.458476, 2.36086
0.457907, 2.36093
0.457339, 2.36101
0.456773, 2.36109
0.456208, 2.36116
0.455644, 2.36123
0.455082, 2.36131
0.454521, 2.36138
0.453962, 2.36145
0.453404, 2.36153
0.452847, 2.3616
0.452292, 2.36167
0.451738, 2.36174
0.451186, 2.36181
0.450634, 2.36188
0.450084, 2.36195
0.449536, 2.36201
0.448989, 2.36208
0.448443, 2.36215
0.447898, 2.36221
0.447355, 2.36228
0.446813, 2.36234
0.446273, 2.36241
0.445733, 2.36247
0.445195, 2.36253
0.444659, 2.36259
0.444123, 2.36265
0.443589, 2.36272
0.443056, 2.36278
0.442525, 2.36283
0.441995, 2.36289
0.441466, 2.36295
0.440938, 2.36301
0.440411, 2.36307
0.439886, 2.36312
0.439362, 2.36318
0.43884, 2.36323
0.438318, 2.36329
0.437798, 2.36334
0.437279, 2.36339
0.436761, 2.36344
0.436245, 2.3635
0.435729, 2.36355
0.435215, 2.3636
0.434702, 2.36365
0.434191, 2.36369
0.43368, 2.36374
0.433171, 2.36379
0.432663, 2.36384
0.432156, 2.36388
0.43165, 2.36393
0.431145, 2.36397
0.430642, 2.36402
0.43014, 2.36406
0.429639, 2.3641
0.429139, 2.36414
0.42864, 2.36419
0.428143, 2.36423
0.427646, 2.36427
0.427151, 2.36431
0.426657, 2.36434
0.426164, 2.36438
0.425672, 2.36442
0.425182, 2.36446
0.424692, 2.36449
0.424204, 2.36453
0.423717, 2.36456
0.42323, 2.36459
0.422745, 2.36463
0.422261, 2.36466
0.421779, 2.36469
0.421297, 2.36472
0.420816, 2.36475
0.420337, 2.36478
0.419858, 2.36481
0.419381, 2.36484
0.418905, 2.36486
0.418429, 2.36489
0.417955, 2.36491
0.417482, 2.36494
0.41701, 2.36496
0.416539, 2.36499
0.416069, 2.36501
0.415601, 2.36503
0.415133, 2.36505
0.414666, 2.36507
0.414201, 2.36509
0.413736, 2.36511
0.413272, 2.36513
0.41281, 2.36515
0.412348, 2.36516
0.411888, 2.36518
0.411429, 2.36519
0.41097, 2.36521
0.410513, 2.36522
0.410056, 2.36524
0.409601, 2.36525
0.409147, 2.36526
0.408693, 2.36527
0.408241, 2.36528
0.40779, 2.36529
0.407339, 2.3653
0.40689, 2.36531
0.406442, 2.36531
0.405994, 2.36532
0.405548, 2.36532
0.405103, 2.36533
0.404658, 2.36533
0.404215, 2.36534
0.403772, 2.36534
0.403331, 2.36534
0.40289, 2.36534
0.402451, 2.36534
0.402012, 2.36534
0.401574, 2.36534
0.401138, 2.36534
0.400702, 2.36533
0.400267, 2.36533
0.399833, 2.36532
0.3994, 2.36532
0.398968, 2.36531
0.398537, 2.36531
0.398107, 2.3653
0.397678, 2.36529
0.39725, 2.36528
0.396822, 2.36527
0.396396, 2.36526
0.39597, 2.36525
0.395546, 2.36523
0.395122, 2.36522
0.394699, 2.36521
0.394277, 2.36519
0.393856, 2.36518
0.393436, 2.36516
0.393017, 2.36514
0.392599, 2.36512
0.392181, 2.36511
0.391765, 2.36509
0.391349, 2.36507
0.390934, 2.36504
0.39052, 2.36502
0.390107, 2.365
0.389695, 2.36498
0.389284, 2.36495
0.388874, 2.36493
0.388464, 2.3649
0.388055, 2.36487
0.387648, 2.36485
0.387241, 2.36482
0.386834, 2.36479
0.386429, 2.36476
0.386025, 2.36473
0.385621, 2.36469
0.385219, 2.36466
0.384817, 2.36463
0.384416, 2.36459
0.384015, 2.36456
0.383616, 2.36452
0.383217, 2.36449
0.38282, 2.36445
0.382423, 2.36441
0.382027, 2.36437
0.381632, 2.36433
0.381237, 2.36429
0.380843, 2.36425
0.380451, 2.36421
0.380059, 2.36416
0.379667, 2.36412
0.379277, 2.36407
0.378887, 2.36403
0.378499, 2.36398
0.378111, 2.36394
0.377724, 2.36389
0.377337, 2.36384
0.376951, 2.36379
0.376567, 2.36374
0.376183, 2.36369
0.375799, 2.36363
0.375417, 2.36358
0.375035, 2.36353
0.374654, 2.36347
0.374274, 2.36342
0.373895, 2.36336
0.373516, 2.3633
0.373138, 2.36324
0.372761, 2.36319
0.372385, 2.36313
0.372009, 2.36306
0.371635, 2.363
0.37126, 2.36294
0.370887, 2.36288
0.370515, 2.36281
0.370143, 2.36275
0.369772, 2.36268
0.369401, 2.36262
0.369032, 2.36255
0.368663, 2.36248
0.368295, 2.36241
